,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
21,21,addr_state WV_NH_WY_DC_ME_ID,0.5429304115788037,5.421620968617961e-23,addr_state,41.68406994409665,42.0,0.3159300559033511,42.0
22,22,verification_status Not Verified,0.08989206938898542,2.737214499069444e-09,verification_status,6.901560914471245,7.0,0.09843908552875469,7.0
23,23,verification_status Source Verified,-0.016980941604629658,0.22177797848924796,verification_status,-1.3037301695914758,-1.0,0.3037301695914758,-1.0
24,24,purpose credit_card,0.32236447032940574,1.9323057483502332e-28,purpose,24.74988109365142,25.0,0.2501189063485789,25.0
25,25,purpose debt_consolidation,0.19730662618224604,1.5406851307310227e-13,purpose,15.148429763398367,15.0,-0.1484297633983669,15.0
26,26,purpose oth__med__vacation,0.21150220372441686,3.899012805946668e-11,purpose,16.238310592589695,16.0,-0.2383105925896949,16.0
27,27,purpose major_purch__car__home_impr,0.3000825391468978,1.390849219331264e-20,purpose,23.039161712137467,23.0,-0.03916171213746722,23.0
28,28,initial_list_status w,0.050924771416300134,0.00016464058562083665,initial_list_status,3.9098044396359652,4.0,0.09019556036403475,4.0
29,29,term 36,0.0757865295063059,1.5917837584004628e-07,term,5.81859282403206,6.0,0.18140717596793987,6.0
30,30,emp_length 1,0.12290683691016592,4.837528217783218e-06,emp_length,9.436305421670822,9.0,-0.43630542167082176,9.0
31,31,emp_length 2-4,0.13722268934058424,1.9137564517379162e-12,emp_length,10.535420485576777,11.0,0.46457951442322276,11.0
32,32,emp_length 5-6,0.08481848576715711,0.0001206993271604216,emp_length,6.512031040938239,7.0,0.4879689590617611,6.0
33,33,emp_length 7-9,0.07589734823341779,0.00041056994412305356,emp_length,5.827101051741418,6.0,0.17289894825858187,6.0
34,34,emp_length 10,0.13785540174715555,4.4949801146867114e-13,emp_length,10.583997665354426,11.0,0.4160023346455741,11.0
35,35,mths_issue_d <38,1.1273462292892187,3.3793374112924456e-182,mths_issue_d,86.55322684219301,87.0,0.44677315780698734,87.0
36,36,mths_issue_d 38-39,0.9059598294139859,3.46178801302305e-149,mths_issue_d,69.55604639279483,70.0,0.44395360720517374,70.0
37,37,mths_issue_d 40-41,0.8020801449926475,1.7773936220181088e-123,mths_issue_d,61.58057119589427,62.0,0.4194288041057277,62.0
38,38,mths_issue_d 42-48,0.5863878285126706,2.5127643834439682e-85,mths_issue_d,45.02056016167981,45.0,-0.020560161679810562,45.0
39,39,mths_issue_d 49-52,0.4527008875801519,3.981785419319339e-45,mths_issue_d,34.75660058675262,35.0,0.24339941324738135,35.0
40,40,mths_issue_d 53-64,0.19485057326863744,1.0179720383911691e-10,mths_issue_d,14.959863642853463,15.0,0.04013635714653674,15.0
41,41,mths_issue_d 65-84,-0.07319427619614241,0.015184068167391741,mths_issue_d,-5.619569770636593,-6.0,-0.380430229363407,-6.0
42,42,int_rate <9.548,0.9836611906819508,1.9531665029803895e-34,int_rate,75.5216524976856,76.0,0.47834750231440637,76.0
43,43,int_rate 9.548-12.025,0.5920594632992815,1.2204475627596567e-37,int_rate,45.45600606063946,45.0,-0.45600606063946003,45.0
44,44,int_rate 12.025-15.74,0.34798382342204864,4.436752479547999e-20,int_rate,26.716834654294306,27.0,0.28316534570569374,27.0
45,45,int_rate 15.74-20.281,0.13684209744958295,4.8223256635457035e-06,int_rate,10.506200131243482,11.0,0.4937998687565184,10.0
46,46,mths_since_earliest_cr_line 141-164,0.06393792378270095,0.013148048139198216,mths_since_earliest_cr_line,4.908903296258968,5.0,0.09109670374103196,5.0
